requested_origin,forecast_origin_date,forecast_origin_value,forecast_step,target_date,actual_value,chronos_q0.1_lower,chronos_q0.5_median,chronos_q0.9_upper,random_walk_forecast,history_rows,context_length,mase_scale_training_only,model_id,alpha,ensemble_forecast,interval_correction,corrected_q0.1_lower,corrected_q0.5_median,corrected_q0.9_upper,evaluation_role
2026-03-01,2026-02-27,1424.5,20,2026-03-30,1508.1,1385.156982421875,1429.6707763671875,1470.1983642578125,1424.5,15302,756,2.5644055944055943,amazon/chronos-2,0.5,1427.0853881835938,3.008544921875,1382.1484375,1429.6707763671875,1473.2069091796875,out_of_calibration_2026_small_sample
2026-04-01,2026-04-01,1530.5,1,2026-04-02,1507.8,1512.146240234375,1527.8150634765625,1543.28955078125,1530.5,15324,756,2.576660575605299,amazon/chronos-2,0.5,1529.1575317382812,3.008544921875,1509.1376953125,1527.8150634765625,1546.298095703125,out_of_calibration_2026_small_sample
2026-04-01,2026-04-01,1530.5,2,2026-04-03,1518.8,1511.4228515625,1528.43505859375,1545.3248291015625,1530.5,15324,756,2.576660575605299,amazon/chronos-2,0.5,1529.467529296875,3.008544921875,1508.414306640625,1528.43505859375,1548.3333740234375,out_of_calibration_2026_small_sample
2026-04-01,2026-04-01,1530.5,3,2026-04-06,1507.6,1506.5015869140625,1527.7484130859375,1547.287109375,1530.5,15324,756,2.576660575605299,amazon/chronos-2,0.5,1529.1242065429688,3.008544921875,1503.4930419921875,1527.7484130859375,1550.295654296875,out_of_calibration_2026_small_sample
2026-04-01,2026-04-01,1530.5,4,2026-04-07,1507.2,1506.114990234375,1527.563720703125,1549.2462158203125,1530.5,15324,756,2.576660575605299,amazon/chronos-2,0.5,1529.0318603515625,3.008544921875,1503.1064453125,1527.563720703125,1552.2547607421875,out_of_calibration_2026_small_sample
2026-04-01,2026-04-01,1530.5,5,2026-04-08,1506.8,1503.82861328125,1527.8216552734375,1551.1298828125,1530.5,15324,756,2.576660575605299,amazon/chronos-2,0.5,1529.1608276367188,3.008544921875,1500.820068359375,1527.8216552734375,1554.138427734375,out_of_calibration_2026_small_sample
2026-04-01,2026-04-01,1530.5,6,2026-04-09,1476.1,1501.44677734375,1527.2493896484375,1552.9296875,1530.5,15324,756,2.576660575605299,amazon/chronos-2,0.5,1528.8746948242188,3.008544921875,1498.438232421875,1527.2493896484375,1555.938232421875,out_of_calibration_2026_small_sample
2026-04-01,2026-04-01,1530.5,7,2026-04-10,1481.1,1501.7923583984375,1528.341064453125,1555.489501953125,1530.5,15324,756,2.576660575605299,amazon/chronos-2,0.5,1529.4205322265625,3.008544921875,1498.7838134765625,1528.341064453125,1558.498046875,out_of_calibration_2026_small_sample
2026-04-01,2026-04-01,1530.5,8,2026-04-13,1479.8,1500.447509765625,1528.87744140625,1558.5762939453125,1530.5,15324,756,2.576660575605299,amazon/chronos-2,0.5,1529.688720703125,3.008544921875,1497.43896484375,1528.87744140625,1561.5848388671875,out_of_calibration_2026_small_sample
2026-04-01,2026-04-01,1530.5,9,2026-04-14,1489.8,1500.1771240234375,1530.159423828125,1560.7877197265625,1530.5,15324,756,2.576660575605299,amazon/chronos-2,0.5,1530.3297119140625,3.008544921875,1497.1685791015625,1530.159423828125,1563.7962646484375,out_of_calibration_2026_small_sample
2026-04-01,2026-04-01,1530.5,10,2026-04-15,1481.4,1499.722412109375,1530.4801025390625,1563.181396484375,1530.5,15324,756,2.576660575605299,amazon/chronos-2,0.5,1530.4900512695312,3.008544921875,1496.7138671875,1530.4801025390625,1566.18994140625,out_of_calibration_2026_small_sample
2026-04-01,2026-04-01,1530.5,11,2026-04-16,1473.1,1499.0753173828125,1531.19140625,1564.7464599609375,1530.5,15324,756,2.576660575605299,amazon/chronos-2,0.5,1530.845703125,3.008544921875,1496.0667724609375,1531.19140625,1567.7550048828125,out_of_calibration_2026_small_sample
2026-04-01,2026-04-01,1530.5,12,2026-04-17,1472.6,1497.6005859375,1531.3057861328125,1566.3779296875,1530.5,15324,756,2.576660575605299,amazon/chronos-2,0.5,1530.9028930664062,3.008544921875,1494.592041015625,1531.3057861328125,1569.386474609375,out_of_calibration_2026_small_sample
2026-04-01,2026-04-01,1530.5,13,2026-04-20,1480.0,1496.097412109375,1530.2293701171875,1567.68359375,1530.5,15324,756,2.576660575605299,amazon/chronos-2,0.5,1530.3646850585938,3.008544921875,1493.0888671875,1530.2293701171875,1570.692138671875,out_of_calibration_2026_small_sample
2026-04-01,2026-04-01,1530.5,14,2026-04-21,1475.6,1494.6715087890625,1532.0322265625,1567.7396240234375,1530.5,15324,756,2.576660575605299,amazon/chronos-2,0.5,1531.26611328125,3.008544921875,1491.6629638671875,1532.0322265625,1570.7481689453125,out_of_calibration_2026_small_sample
2026-04-01,2026-04-01,1530.5,15,2026-04-22,1470.8,1495.413330078125,1532.913330078125,1570.7890625,1530.5,15324,756,2.576660575605299,amazon/chronos-2,0.5,1531.7066650390625,3.008544921875,1492.40478515625,1532.913330078125,1573.797607421875,out_of_calibration_2026_small_sample
2026-04-01,2026-04-01,1530.5,16,2026-04-23,1477.6,1494.576171875,1531.8201904296875,1572.42626953125,1530.5,15324,756,2.576660575605299,amazon/chronos-2,0.5,1531.1600952148438,3.008544921875,1491.567626953125,1531.8201904296875,1575.434814453125,out_of_calibration_2026_small_sample
2026-04-01,2026-04-01,1530.5,17,2026-04-24,1480.6,1493.0916748046875,1531.5953369140625,1572.302001953125,1530.5,15324,756,2.576660575605299,amazon/chronos-2,0.5,1531.0476684570312,3.008544921875,1490.0831298828125,1531.5953369140625,1575.310546875,out_of_calibration_2026_small_sample
