forecast_origin_date,rows,chronos_mae,random_walk_mae,chronos_rmse,random_walk_rmse,chronos_mase,random_walk_mase,chronos_direction_accuracy,random_walk_direction_accuracy,pinball_q0.1,pinball_q0.5,pinball_q0.9,mean_pinball_loss,interval_80_coverage,interval_mean_width,mae_improvement_vs_random_walk_percent,rmse_improvement_vs_random_walk_percent
2005-06-01,20,11.09710754394531,5.77000000000001,12.255618010756024,7.194442299441995,7.450286754282773,3.8738161635341113,0.1,0.0,2.389886840820313,5.548553771972655,1.1988979492187501,3.045779520670573,0.7,25.56049194335936,-92.32422086560294,-70.34840923954003
2005-07-01,20,7.859023437500014,10.505000000000042,9.4440730028879,12.596447912010792,5.265835859316765,7.03873784599879,0.8,0.0,2.144266662597659,3.929511718750007,2.1579742431640665,2.7439175415039103,0.9,42.56770935058596,25.187782603522297,25.025903581255502
2005-08-01,20,5.932066040039075,6.3750000000000115,6.684391686397859,7.704771249037866,3.962121875202258,4.257964558035847,0.7,0.0,1.4962440185546895,2.9660330200195375,1.4959947509765614,1.9860905965169293,0.95,29.6646240234375,6.947983685661736,13.243476407783382
2005-09-01,20,10.080482177734348,8.71999999999989,10.91013540062171,9.81045360826898,6.724236141746999,5.816719688820657,0.2,0.0,1.290747863769517,5.040241088867174,2.5449055175781217,2.9586314900716046,0.7,30.510476684570325,-15.601859836404524,-11.209285893017585
2005-09-30,20,8.693208007812496,8.320000000000004,11.261310044900354,10.350797070757393,5.793108624957275,5.54440474866458,0.5,0.0,2.2037960815429667,4.346604003906248,1.3382537841796807,2.6295512898762983,0.75,26.75534973144529,-4.485673170823219,-8.796549366379727
2005-11-01,20,4.241517333984359,3.7949999999999933,5.403336170522786,4.617845818127741,2.821966674249606,2.5248897235360745,0.6,0.05,1.8999152221679663,2.1207586669921796,1.1213137207031227,1.7139958699544229,0.95,29.73650817871093,-11.765937654397016,-17.00988693281046
2005-12-01,20,17.56450683593751,11.865000000000014,22.39408001359376,14.991314151868076,11.674217789042581,7.886050850205788,0.1,0.0,1.167296325683592,8.782253417968755,36.05383557128905,15.334461771647133,0.9,370.0708892822266,-48.0362986593973,-49.38036643574187
2005-12-30,20,21.651381225585965,25.170000000000005,24.087068984221922,27.63693181234126,14.380257283887227,16.717227971013468,0.95,0.05,4.685659606933614,10.825690612792982,4.301718627929687,6.604356282552094,0.4,39.78675842285154,13.979415075145171,12.844634318394734
2006-02-01,20,6.511141357421906,3.2499999999999942,7.427010869768933,3.976179070414196,4.307224142957315,2.149926978417493,0.3,0.0,2.1422981567382813,3.255570678710953,0.8509989624023442,2.082955932617193,1.0,29.932971191406256,-100.34281099759745,-86.78763552254368
2006-02-28,20,8.222637939453119,6.070000000000005,9.347272760210044,7.454193450669234,5.42834744929319,4.007238219636504,0.05,0.05,2.106076660156251,4.111318969726559,1.0567453002929852,2.424713643391932,0.8,25.059786987304683,-35.4635574868717,-25.396165555253347
