date,value,raw_rate,raw_unit,normalized_rate,normalized_unit,stat_code,item_code,item_name,unit_name,series_code,notes,kr_yield_source_published_at_kst,kr_yield_safe_from_krw_date,kr_yield_availability_rule
2015-04-29,1.842,1.842,연%,1.842,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-29T16:00:00+09:00,2015-04-30,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-04-30,1.843,1.843,연%,1.843,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-04-30T16:00:00+09:00,2015-05-01,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-05-04,1.896,1.896,연%,1.896,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-05-04T16:00:00+09:00,2015-05-05,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-05-06,1.969,1.969,연%,1.969,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-05-06T16:00:00+09:00,2015-05-07,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-05-07,1.966,1.966,연%,1.966,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-05-07T16:00:00+09:00,2015-05-08,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-05-08,1.888,1.888,연%,1.888,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-05-08T16:00:00+09:00,2015-05-09,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-05-11,1.876,1.876,연%,1.876,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-05-11T16:00:00+09:00,2015-05-12,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-05-12,1.942,1.942,연%,1.942,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-05-12T16:00:00+09:00,2015-05-13,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-05-13,1.864,1.864,연%,1.864,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-05-13T16:00:00+09:00,2015-05-14,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
2015-05-14,1.857,1.857,연%,1.857,연%,817Y002,010200000,국고채(3년),연%,817Y002,Korean 3-year Treasury yield (annual percent),2015-05-14T16:00:00+09:00,2015-05-15,KOFIA 16:00 KST source publication; usable from next calendar day; ECOS load time unverified
